,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
PROSTGI2t_neg,572.0,0.4070711984865163,-0.5711953176162462,0.5163451634529084,PROSTGI2t
PROSTGI2t_pos,435.0,0.01757849829506413,-0.7064907707703969,0.08471643536743664,PROSTGI2t
PROSTGI2tr_neg,775.0,0.14721397969617997,0.2144776034365918,0.27812759679518245,PROSTGI2tr
PROSTGI2tr_pos,647.0,0.9954752680369249,-0.12785614944741372,0.9982496488269067,PROSTGI2tr
PRO_Dtde_neg,716.0,0.43307540627349184,0.18724218451455876,0.5351007335975173,PRO_Dtde
PRO_Dtde_pos,596.0,0.5766083799047754,-0.04513931706249808,0.6620055802315017,PRO_Dtde
PROt2r_neg,653.0,0.9415529765402946,0.15386468512838905,0.9632198969459651,PROt2r
PROt2r_pos,651.0,0.9595178048513721,0.06486876953847966,0.9705074840897254,PROt2r
PROt4_2_r_neg,749.0,0.24761151356061917,0.2859286845885311,0.37500376387454143,PROt4_2_r
PROt4_2_r_pos,859.0,0.016532703477823957,0.5506327190414909,0.08310862863659967,PROt4_2_r
PROt4_pos,800.0,0.08337412080569187,0.42300055061669317,0.2056037281000741,PROt4
PRPNCOAHYDm_pos,736.0,0.31271858040486367,0.07589205972907777,0.4351822663853884,PRPNCOAHYDm
PRPPS_neg,848.0,0.023034522971295626,0.384779263637037,0.10497252971925865,PRPPS
PRPPS_pos,858.0,0.017048565921655958,0.2618557858742156,0.08427562654918433,PRPPS
PSDm_hs_pos,696.0,0.5766083799047754,0.05569670661702864,0.6620055802315017,PSDm_hs
PSERT_pos,776.0,0.14409162499280112,0.34904394748394946,0.2739711286959428,PSERT
PSFLIP_pos,782.0,0.12641307815337005,0.40686095270691247,0.2553661408755095,PSFLIP
PSFLIPm_pos,696.0,0.5766083799047754,0.05569670661702864,0.6620055802315017,PSFLIPm
PSP_L_pos,776.0,0.14409162499280112,0.34904394748394946,0.2739711286959428,PSP_L
PSSA1_hs_neg,740.0,0.2915841050256357,0.18017376347065073,0.41559479309542624,PSSA1_hs
PSSA1_hs_pos,704.0,0.5166077345633355,0.03733082229606237,0.6091720579883432,PSSA1_hs
PSSA2_hs_neg,638.0,0.9325811279592813,-0.016723395387199833,0.9550881791590508,PSSA2_hs
PSSA2_hs_pos,809.0,0.06680957823883144,0.29175985050479947,0.18206863794443845,PSSA2_hs
PSYGCHe_pos,719.0,0.4134834034101128,0.03510876010907753,0.5215032013949376,PSYGCHe
PSYTCHe_pos,793.0,0.09843724357503651,0.22903796613705907,0.22635024164773526,PSYTCHe
PSt3_neg,782.0,0.12641307815337005,0.40686095270691275,0.2553661408755095,PSt3
PSt3_pos,557.0,0.318156042649269,-0.17199156305254226,0.4410584935750897,PSt3
PTCRTD_neg,718.0,0.41995502950651176,0.10516463484472503,0.5265552797054978,PTCRTD
PTCRTD_pos,555.0,0.3073426840586344,-0.281514148283839,0.4299902462691449,PTCRTD
PTDCACRNCPT1_pos,868.0,0.012473570487036165,0.40272800325087754,0.07094411064645896,PTDCACRNCPT1
PTDCACRNCPT2_pos,868.0,0.012473570487036165,0.40272800325087754,0.07094411064645896,PTDCACRNCPT2
PTDCACRNt_pos,868.0,0.012473570487036165,0.40272800325087754,0.07094411064645896,PTDCACRNt
PTDCAt_pos,868.0,0.012473570487036165,0.4027280032508773,0.07094411064645896,PTDCAt
PTE3x_pos,765.0,0.18133833341785754,0.14640957139425012,0.3163497087254936,PTE3x
PTE4x_pos,755.0,0.2210093690314341,0.06816233181084223,0.3541677848505203,PTE4x
PTPAT_pos,880.0,0.008443214960880484,0.35592499666778715,0.05808043133616206,PTPAT
PTPATe_neg,777.0,0.14102029380658648,0.16271993755997122,0.2705718203247336,PTPATe
PTPATe_pos,766.0,0.17768239334490465,0.22524516463885882,0.312390218054601,PTPATe
PTRCOX1_pos,563.0,0.3520728929491419,-0.24245093747232968,0.4745867069766176,PTRCOX1
PUNP1_neg,820.0,0.050343977311677966,0.1990483888234217,0.16198812985318342,PUNP1
PUNP1_pos,775.0,0.14721397969617997,0.15470246585397693,0.27812759679518245,PUNP1
PUNP2_neg,789.0,0.10797570822407274,0.16451655548740882,0.23241806760352943,PUNP2
PUNP2_pos,755.0,0.2210093690314341,0.16264022514815157,0.3541677848505203,PUNP2
PUNP3_neg,801.0,0.08138337468973665,0.1827218227309769,0.2020670036464396,PUNP3
PUNP3_pos,602.0,0.6236617163417643,-0.04557017736579054,0.7014852523740842,PUNP3
PUNP4_neg,753.0,0.2296390691639486,0.12247080847502863,0.3607431050448087,PUNP4
PUNP4_pos,795.0,0.09392698360100028,0.2516993308551603,0.21921887065447743,PUNP4
PUNP5_neg,830.0,0.03846856723477108,0.2530267895695202,0.13797589839694238,PUNP5
PUNP5_pos,779.0,0.135028898877286,0.13855668798719467,0.2664293037931957,PUNP5
PUNP6_pos,637.0,0.9236178364914174,-0.08001281374497252,0.947988465756465,PUNP6
PUNP7_neg,602.0,0.6236617163417643,-0.04557017736579054,0.7014852523740842,PUNP7
PUNP7_pos,779.0,0.135028898877286,0.17727092195068184,0.2664293037931957,PUNP7
PVD3_neg,687.0,0.6477944937406348,0.020036324636849668,0.717879772188409,PVD3
PVD3_pos,813.0,0.06037135393230837,0.26540251068596693,0.17542987461116472,PVD3
PYAM5POr_pos,747.0,0.2569578154920653,0.16051285993325284,0.3810345641571697,PYAM5POr
PYDAMK_pos,841.0,0.02824234017410878,0.371210841263296,0.11740692941335934,PYDAMK
PYDAMtr_pos,773.0,0.15361352901676406,0.2257565566729728,0.2855944273469568,PYDAMtr
PYDXDH_pos,980.0,0.00016870618605338556,0.6989609916008499,0.002494332411445418,PYDXDH
PYDXK_pos,841.0,0.02824234017410878,0.37121084126329584,0.11740692941335934,PYDXK
PYDXNK_pos,841.0,0.02824234017410878,0.37121084126329595,0.11740692941335934,PYDXNK
PYDXNtr_pos,767.0,0.1740816179270973,0.17390509449019179,0.30955738044995396,PYDXNtr
PYDXPP_pos,841.0,0.02824234017410878,0.3712108412632963,0.11740692941335934,PYDXPP
PYDXtr_pos,953.0,0.000545756541942683,0.6459281888926137,0.006952278755546654,PYDXtr
PYK_pos,1163.0,5.678173406523718e-09,1.2647698132102838,3.092238600969375e-06,PYK
PYNP2r_neg,780.0,0.13210792043649136,0.1905503466374607,0.2633695119135055,PYNP2r
PYNP2r_pos,842.0,0.02744123351378389,0.20402926771734592,0.1152496536070551,PYNP2r
PYRt2m_neg,1036.0,1.1156736454833882e-05,0.883948528028057,0.00028591871659740947,PYRt2m
PYRt2m_pos,1036.0,1.1156736454833882e-05,0.883948528028057,0.00028591871659740947,PYRt2m
PYRt2p_neg,1024.0,2.0618044325511938e-05,0.8327736851087217,0.00048818449154790043,PYRt2p
PYRt2p_pos,1030.0,1.5200078289334964e-05,0.8157151065022056,0.0003776901582540076,PYRt2p
PYRt2r_neg,1071.0,1.6825294679707453e-06,1.266883508245316,0.00012354303453021147,PYRt2r
PYRt2r_pos,1071.0,1.6825294679707453e-06,1.266883508245316,0.00012354303453021147,PYRt2r
Q10H2e_pos,947.0,0.0007000670763712282,0.7494663719442531,0.008363689842935972,Q10H2e
RADH2_pos,817.0,0.05445612188191288,0.4951912899234261,0.1703545986109625,RADH2
RADH3_pos,789.0,0.10797570822407274,0.38486688474623176,0.23241806760352943,RADH3
RADH4_pos,776.0,0.14409162499280112,0.3862651357791459,0.2739711286959428,RADH4
RADH_pos,799.0,0.08540412809608425,0.4856735581213093,0.20786442350387732,RADH
RAHY_pos,824.0,0.04526875894763675,0.46642880299185896,0.15423948890657257,RAHY
RAI1_neg,752.0,0.23404269335962813,0.19489485094774672,0.36389935786466093,RAI1
RAI1_pos,807.0,0.07023479225441838,0.3370396050483142,0.185074341686542,RAI1
RAI2_neg,752.0,0.23404269335962813,0.19488796384838253,0.36389935786466093,RAI2
RAI2_pos,807.0,0.07023479225441838,0.3370396050483142,0.185074341686542,RAI2
RAI3_neg,823.0,0.04649531043785187,0.5321400721149211,0.1554999251337574,RAI3
RAI3_pos,745.0,0.26654620814986085,0.19605513803748378,0.3906435232696436,RAI3
RAI4_neg,745.0,0.26654620814986085,0.19626886140574004,0.3906435232696436,RAI4
RAI4_pos,790.0,0.10552508948559527,0.3051624374265375,0.23125635807792258,RAI4
RAtn3_pos,745.0,0.26654620814986085,0.19605513803748378,0.3906435232696436,RAtn3
RBFK_pos,917.0,0.0022795787197993867,0.4172310467035416,0.021589923092592743,RBFK
RBK_pos,778.0,0.13799953670087406,0.3184508336480558,0.27041288525943386,RBK
RBTt_pos,845.0,0.025154455765000826,0.5183838451032186,0.10864796326786542,RBTt
RDH1_neg,738.0,0.3020283327187192,0.13791214124122853,0.42758993811023177,RDH1
RDH1_pos,747.0,0.25256352557515416,0.270040377879697,0.37951313856832203,RDH1
RDH1a_pos,738.0,0.3020283327187192,0.13791214124122853,0.42758993811023177,RDH1a
RDH2_neg,846.0,0.024429771215977253,0.363396497066866,0.10787064520027795,RDH2
