meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
1096,680.0,0.7055269565086238,-0.0315090264227897,0.7890701615083437
1097,804.0,0.07564159490825272,0.5002709437172635,0.20253567234779818
1098,819.0,0.05168477928456948,0.4456522478104471,0.16731852276869102
1099,762.0,0.19264082733965937,0.37972709818757927,0.34245044694609567
1100,682.0,0.688840047586424,-0.028664679115913527,0.7739289305151703
1101,683.0,0.6805524219365017,0.07728227447720402,0.7691450449104842
1102,654.0,0.9325811279592813,-0.04301423678112448,0.9565077320775683
1103,638.0,0.9325811279592813,-0.0763740090736874,0.9565077320775683
1104,629.0,0.852354409854944,-0.16011226239595652,0.8955973291813256
1105,653.0,0.910068975693213,-0.09886808137753554,0.941847422767389
1106,782.0,0.12641307815337005,0.30077447496062126,0.2706152943283227
1107,736.0,0.31271858040486367,0.2239165861241538,0.4547912349542814
1108,806.0,0.07200068852019151,0.3720541598132894,0.1970846872073395
1109,862.0,0.015066462981090255,0.5673744982907863,0.08327733075400048
1110,839.0,0.02990516464565861,0.5316568416283864,0.12477421850943485
1111,687.0,0.6477944937406348,0.020313293093886936,0.7418779045570628
1112,712.0,0.4600156931555306,0.18181400937919842,0.5844545281111286
1113,693.0,0.5999262879391133,0.0821316974876061,0.7053852865713651
1114,659.0,0.8878728055527096,-0.05685538975339068,0.9233232623987343
1115,631.0,0.8700808458620439,0.000979845165290707,0.9086688785157069
1116,638.0,0.9325811279592813,0.013727053929332381,0.9565077320775683
1117,702.0,0.531299259986203,0.17308058408340424,0.6459005855136372
1118,693.0,0.5999262879391133,0.08135387939633944,0.7053852865713651
1119,694.0,0.592106301745599,0.11624050623761809,0.6985797753607993
1120,781.0,0.12923613663721678,0.34751183160468585,0.27292004776336076
1121,807.0,0.07023479225441838,0.4854224416875153,0.19379391313859584
1122,865.0,0.013715991075833756,0.5050132209574194,0.08074585157314462
1123,725.0,0.3759100726357998,0.256951932488471,0.5128487419531269
1124,880.0,0.008443214960880484,0.6374860739609641,0.058523735958683674
1125,843.0,0.026659807453770237,0.4170955330206478,0.11661121886267439
1126,821.0,0.049032448578516956,0.26223128447647465,0.1639820605184254
1127,848.0,0.023034522971295626,0.38477926363703113,0.10789194819525118
1128,906.0,0.0034215562027140865,0.5293813543269096,0.03196551691557345
1129,802.0,0.07943137879021925,0.13250981699074912,0.210065446369826
1130,821.0,0.049032448578516956,0.12758542897727213,0.1639820605184254
1131,782.0,0.12641307815337005,0.2637329261443287,0.2706152943283227
1132,951.0,0.0005932720732532225,0.765749751907425,0.009998379352179308
1133,900.0,0.004244345194553876,0.7000752751507835,0.03780326108517157
1134,861.0,0.015541954481439718,0.4607650497916242,0.08535661263129353
1135,966.0,0.0003135170943928242,0.8044165258218531,0.00657238884464957
1136,986.0,0.00012842393927682305,0.8739655008811585,0.003560657284142884
1137,1033.0,1.3029567544407619e-05,1.0440445837518442,0.0007723388485805758
1138,989.0,0.0001118651686268197,0.7387860911756952,0.0032592580486356455
1139,893.0,0.005428386447770371,0.577074565507122,0.04493346648604713
1140,894.0,0.0052427368382046745,0.6824390125813045,0.043962266462799195
1141,896.0,0.004888546210878346,0.6752920442519149,0.04201705468249938
1142,946.0,0.0007294258437945024,0.8141785117081106,0.011195384156095977
